Tipo de fiscalizador;UbicaciÛn;Latitud;Longitud;Conducta fiscalizada
AnalÌtica de video;Av. Juan Bautista Alberdi 890;-34.6229296;-58.4405593;sem·foro rojo, senda peatonal
AnalÌtica de video;Av. Juan B. Justo 3969;-34.6041664;-58.458205;sem·foro rojo, senda peatonal, Giro indebido
AnalÌtica de video;AV. Rivadavia 4987;-34.6180948;-58.43609;sem·foro rojo, senda peatonal
AnalÌtica de video;Bernardo de Yrigoyen 1026;-34.620115;-58.3801422;sem·foro rojo
AnalÌtica de video;Av. Cordoba 6287;-34.582832;-58.4485977;sem·foro rojo
AnalÌtica de video;Av. Rivadavia 10524;-34.6393519;-58.511761;sem·foro rojo, senda peatonal, Giro indebido
AnalÌtica de video;Rosario 21;-34.6183695;-58.4290076;sem·foro rojo, senda peatonal
AnalÌtica de video;Av. Cordoba 4570;-34.5945194;-58.4297659;sem·foro rojo, senda peatonal
AnalÌtica de video;Av. Cordoba 4471;-34.5950856;-58.4288221;sem·foro rojo, senda peatonal
AnalÌtica de video;Av. Avellaneda 1825;-34.6212716;-58.4563876;sem·foro rojo, senda peatonal, VÌa transversal
AnalÌtica de video;Av Mosconi 3000;-34.5870146;-58.50341;sem·foro rojo, senda peatonal, VÌa transversal
AnalÌtica de video;AV.Paseo Colon 753;-34.6167193;-58.3694479;sem·foro rojo, senda peatonal
AnalÌtica de video;Av Caseros 3020 sobre la plaza.;-34.6372008;-58.405921;sem·foro rojo, senda peatonal
AnalÌtica de video;Av. Cabildo 1716;-34.5655339;-58.4538156;sem·foro rojo, senda peatonal
AnalÌtica de video;Av Gaona 2300;-34.6137044;-58.4594855;sem·foro rojo, senda peatonal
AnalÌtica de video;Av. Francisco BeirÛ 2875;-34.5947753;-58.4941256;sem·foro rojo, senda peatonal
AnalÌtica de video;Av. Corrientes 3022;-34.6043626;-58.4080931;sem·foro rojo, senda peatonal
AnalÌtica de video;Lima 281;-34.6116696;-58.3819691;sem·foro rojo, senda peatonal
AnalÌtica de video;Av. Coronel Roca 5870;-34.6896993;-58.4607644;sem·foro rojo, senda peatonal
AnalÌtica de video;Av. Avellaneda 2924;-34.626596;-58.47185;sem·foro rojo, senda peatonal
AnalÌtica de video;Av. Independencia 1784;-34.6183201;-58.3913006;sem·foro rojo, senda peatonal
AnalÌtica de video;Av. Corrientes 2813;-34.604368;-58.405723;sem·foro rojo, senda peatonal
AnalÌtica de video;Av. ¡Ålvarez Thomas 1294;-34.578286;-58.4598168;sem·foro rojo, senda peatonal, VÌa transversal
AnalÌtica de video;Av. San Juan 1119;-34.6219603;-58.3818964;sem·foro rojo, senda peatonal
AnalÌtica de video;Av Santa Fe 4650;-34.578466;-58.426036;sem·foro rojo, senda peatonal, Giro indebido
AnalÌtica de video;Av. Leandro N. Alem 518;-34.6016026;-58.3706653;sem·foro rojo, senda peatonal
AnalÌtica de video;Lima Oeste 1524;-34.6261863;-58.3821062;sem·foro rojo
AnalÌtica de video;Av. Corriente 6210;-34.5915862;-58.447969;sem·foro rojo, senda peatonal
AnalÌtica de video;Dr. Jose Maria Ramos Mejia 1304;-34.5923398;-58.3751466;sem·foro rojo, senda peatonal
AnalÌtica de video;Av. Corrientes 5220;-34.59987;-58.4390869;sem·foro rojo, senda peatonal
AnalÌtica de video;Av. Cabildo 4718;-34.5413779;-58.4741464;sem·foro rojo, senda peatonal, Giro indebido
AnalÌtica de video;Av. Rivadavia 7420;-34.6309456;-58.4700198;sem·foro rojo, senda peatonal, Giro indebido
AnalÌtica de video;Av. Las Heras 2289;-34.587597;-58.3968022;sem·foro rojo, senda peatonal, Giro indebido
AnalÌtica de video;Av. Santa Fe 2622;-34.5941423;-58.4040057;sem·foro rojo, senda peatonal
AnalÌtica de video;Av. Belgrano 3218;-34.6154775;-58.411437;sem·foro rojo
AnalÌtica de video;Av. Independencia 2086;-34.618509;-58.3956791;sem·foro rojo, senda peatonal
AnalÌtica de video;Av. Rivadavia 2775;-34.6098817;-58.4055978;sem·foro rojo, senda peatonal
AnalÌtica de video;Av. Int. Francisco Rabanal 1323;-34.6547635;-58.4172216;sem·foro rojo, senda peatonal
AnalÌtica de video;Av. Belgrano 324;-34.6125804;-58.3708745;sem·foro rojo, senda peatonal
AnalÌtica de video;Av. Virrey VÈrtiz 2010;-34.5590823;-58.4497814;sem·foro rojo, senda peatonal
AnalÌtica de video;AV.Paseo ColÛn 400;-34.6128447;-58.3688407;sem·foro rojo, senda peatonal
AnalÌtica de video;AV. Saenz 1230;-34.6550245;-58.4161493;sem·foro rojo, senda peatonal
AnalÌtica de video;Vuelta de Obligado 2179;-34.5606815;-58.4560335;sem·foro rojo, senda peatonal
AnalÌtica de video;Av. Olivera 187;-34.6376715;-58.4871991;sem·foro rojo, senda peatonal
AnalÌtica de video;Av. Entre RÌ≠os 1818;-34.6295987;-58.3907567;sem·foro rojo, senda peatonal
AnalÌtica de video;Vedia 3438;-34.5441959;-58.4860639;sem·foro rojo, senda peatonal
AnalÌtica de video;Av. Juan de Garay 1769;-34.6272455;-58.3902949;sem·foro rojo, senda peatonal
AnalÌtica de video;AV. Lisandro de la Torre 663;-34.6460407;-58.5205847;sem·foro rojo, senda peatonal
AnalÌtica de video;AV. Montes de Oca 1685;-34.6464535;-58.3733901;sem·foro rojo, senda peatonal, Giro indebido
AnalÌtica de video;Av. Rivadavia 6626;-34.627858;-58.459097;sem·foro rojo, senda peatonal, Giro indebido
AnalÌtica de video;Av. Rivadavia 9618;-34.6376219;-58.4997174;sem·foro rojo, senda peatonal, Giro indebido
AnalÌtica de video;Av. Juan B. Justo 4781;-34.6102978;-58.46633;sem·foro rojo, senda peatonal, Giro indebido
AnalÌtica de video;Av. del Libertador 5722;-34.5593889;-58.4457398;sem·foro rojo, senda peatonal, Giro indebido
AnalÌtica de video;Av. Varela 2779;-34.6555379;-58.4385182;sem·foro rojo, senda peatonal
AnalÌtica de video;Av. San MartÌ≠n 1844;-34.6056573;-58.4545631;sem·foro rojo, senda peatonal
AnalÌtica de video;Montevideo 300;-34.6230642;-58.4405459;InvasiÛn de ciclovia
AnalÌtica de video;Av. CÛrdoba 3907;-34.6040577;-58.4583156;InvasiÛn de ciclovia
AnalÌtica de video;Av. Corrientes 2676;-34.6179844;-58.4361597;InvasiÛn de ciclovia
AnalÌtica de video;Gorriti 5300;-34.6201095;-58.3799732;InvasiÛn de ciclovia
AnalÌtica de video;Av. Corrientes 5694;-34.5827315;-58.448532;InvasiÛn de ciclovia
AnalÌtica de video;SuperÌ≠ 1803;-34.6394678;-58.511763;InvasiÛn de ciclovia
AnalÌtica de video;Billinghurst 301;-34.61822;-58.429025;InvasiÛn de ciclovia
AnalÌtica de video;JOSE BONIFACIO 2501;-34.59468;-58.4299651;InvasiÛn de ciclovia
AnalÌtica de video;Pola 1205;-34.5949669;-58.4287148;InvasiÛn de ciclovia
AnalÌtica de video;33 ORIENTALES 903;-34.6211717;-58.4564399;InvasiÛn de ciclovia
AnalÌtica de video;Gral. Cesar DÌaz 2898;-34.5871007;-58.5033248;InvasiÛn de ciclovia
AnalÌtica de video;C.CALVO 2195;-34.6167221;-58.3695746;InvasiÛn de ciclovia
AnalÌtica de video;LA PAMPA 4704;-34.6372008;-58.405921;InvasiÛn de ciclovia
AnalÌtica de video;CERETTI 2997;-34.5655339;-58.4538156;InvasiÛn de ciclovia
AnalÌtica de video;AMENABAR 2209;-34.6137044;-58.4594855;InvasiÛn de ciclovia
AnalÌtica de video;Av. Callao 858;-34.6460407;-58.5205847;Uso de cinturÛn
AnalÌtica de video;Lima Este (Plaza) y juan de garay;-34.6464535;-58.3733901;sem·foro rojo, senda peatonal, Uso de cinturÛn, uso de celular
AnalÌtica de video;Av. PueyrredÛn 214;-34.627858;-58.459097;sem·foro rojo, senda peatonal, Uso de cinturÛn, uso de celular
AnalÌtica de video;Lima 1365;-34.6376219;-58.4997174;sem·foro rojo, senda peatonal, Uso de cinturÛn, uso de celular
AnalÌtica de video;Av. CÛrdoba 1980;-34.6102978;-58.46633;sem·foro rojo, senda peatonal, Uso de cinturÛn, uso de celular
AnalÌtica de video;Av. Entre RÌos 326;-34.5593889;-58.4457398;sem·foro rojo, senda peatonal, VÌa transversal, Uso de cinturÛn, uso de celular
AnalÌtica de video;Av. Rivadavia 5353;-34.6555379;-58.4385182;sem·foro rojo, senda peatonal, Uso de cinturÛn, uso de celular
AnalÌtica de video;Av. Rivadavia 7218;-34.6056573;-58.4545631;sem·foro rojo, senda peatonal, Uso de cinturÛn, uso de celular
AnalÌtica de video;Suarez 1635;-34.6384136;-58.3737553;sem·foro rojo, senda peatonal, Doble fila, Uso de cinturÛn, uso de celular
AnalÌtica de video;Av. Federico Lacroze 4199;-34.5867518;-58.4552263;sem·foro rojo, senda peatonal, Uso de cinturÛn, uso de celular
AnalÌtica de video;Av. Forest 634;-34.5849407;-58.4543749;sem·foro rojo, senda peatonal, Doble fila, Uso de cinturÛn, uso de celular
