AAAA,SEMESTRE,N_VICTIMAS,Poblacion,%_homicidios,target,AAAA-SEMESTRE
2016,1,65,2899099,2.242,,2016 - 1
2016,2,81,2899099,2.794,2.018,2016 - 2
2017,1,69,2927500,2.357,2.515,2017 - 1
2017,2,71,2927500,2.425,2.121,2017 - 2
2018,1,70,2960408,2.365,2.182,2018 - 1
2018,2,79,2960408,2.669,2.129,2018 - 2
2019,1,57,2998148,1.901,2.402,2019 - 1
2019,2,47,2998148,1.568,1.711,2019 - 2
2020,1,31,3041063,1.019,1.411,2020 - 1
2020,2,50,3041063,1.644,0.917,2020 - 2
2021,1,55,3089508,1.78,1.48,2021 - 1
2021,2,42,3089508,1.359,1.602,2021 - 2
